catalog_name,schema_name,table_name,full_name,position,column_name,type_name,type_text,nullable,semantic_role
dev_iqvia_catalog,trusted_starschema_01,d_prescription_future,dev_iqvia_catalog.trusted_starschema_01.d_prescription_future,2,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_presentation_position,dev_iqvia_catalog.trusted_starschema_01.d_presentation_position,0,PRESENTATION_POSITION_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_presentation_position,dev_iqvia_catalog.trusted_starschema_01.d_presentation_position,1,PRESENTATION_POSITION,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_presentation_position,dev_iqvia_catalog.trusted_starschema_01.d_presentation_position,2,ORDER_BY,INT,int,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_presentation_position,dev_iqvia_catalog.trusted_starschema_01.d_presentation_position,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_products_presented,dev_iqvia_catalog.trusted_starschema_01.d_products_presented,0,PRODUCT_PRESENTED_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_products_presented,dev_iqvia_catalog.trusted_starschema_01.d_products_presented,1,PRODUCT_PRESENTED,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_products_presented,dev_iqvia_catalog.trusted_starschema_01.d_products_presented,2,ORDER_BY,INT,int,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_products_presented,dev_iqvia_catalog.trusted_starschema_01.d_products_presented,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,0,MARKET_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,1,MARKET,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,2,MARKET_CODE,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,3,MARKET_DEFINITION,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,0,REPRESENTING_COMPANY_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,1,REPRESENTING_COMPANY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,2,OUR_REPRESENTING_COMPANY,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,3,MENARINI_FLAG,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,0,SPECIALTY_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,1,SPECIALTY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,2,GP_SPECIALTY,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,3,OUR_SPECIALTY,STRING,string,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,0,SPONSORING_COMPANY_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,1,SPONSORING_COMPANY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,2,OUR_REPRESENTING_COMPANY,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,3,MENARINI_FLAG,BOOLEAN,boolean,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,4,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,0,MONTH_ID,DATE,date,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,1,MONTH,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,2,QUARTER_ID,DATE,date,True,business_key
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,3,QUARTER,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,4,SEMESTER_ID,DATE,date,True,business_key
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,5,SEMESTER,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,6,YEAR_ID,DATE,date,True,business_key
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,7,YEAR,INT,int,True,attribute
dev_iqvia_catalog,trusted_starschema_01,d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,8,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,d_visit_duration,dev_iqvia_catalog.trusted_starschema_01.d_visit_duration,0,VISIT_DURATION_ID,LONG,bigint,False,business_key
dev_iqvia_catalog,trusted_starschema_01,d_visit_duration,dev_iqvia_catalog.trusted_starschema_01.d_visit_duration,1,VISIT_DURATION,STRING,string,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_visit_duration,dev_iqvia_catalog.trusted_starschema_01.d_visit_duration,2,VISIT_DURATION_MIN,INT,int,False,attribute
dev_iqvia_catalog,trusted_starschema_01,d_visit_duration,dev_iqvia_catalog.trusted_starschema_01.d_visit_duration,3,_trusted_ts,TIMESTAMP,timestamp,True,technical_timestamp
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,0,F_CDD_ID,STRING,string,False,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,1,ATC4_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,2,CONTACT_TYPE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,3,CONTACT_QUALITY_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,4,SPECIALTY_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,5,CLINICAL_TRIAL_TYPE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,6,MANUFACTURER_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,7,MOLECULE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,8,MATERIAL_LEFT_SAMPLE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,9,REPRESENTING_COMPANY_ID,LONG,bigint,True,business_key
